text
"COVID-19; Here are the latest updates as of 3pm, 26th February 2020 https://t.co/56nerSYZPS Feb 26, 2020"
"COVID-19; 25 Nov 2020 Jumlah sembuh baru:2348 Jumlah kumulatif discaj: 46501 (77.7%) Jumlah kes baru:970 Jumlah kumulatif:59817 Jumlah kes aktif:12971 Kes tempatan:965 Kes import:5 Jumlah kematian:4 Jumlah kumulatif:345 (0.6%) Jumlah kes di ICU: 110 Pesakit intubated: 47 https://t.co/ptTVinpQro Nov 25, 2020"
"COVID-19; 26 Nov 2020 Jumlah sembuh baru:2555 Jumlah kumulatif: 49056 (80.7%) Jumlah kes baru:935 Jumlah kumulatif:60752 Jumlah kes aktif:11348 Kes tempatan:931 Kes import:4 Jumlah kematian: 3 (3WN) Jumlah kumulatif: 348 (0.57%) Jumlah kes di ICU: 110 Pesakit intubated: 45 https://t.co/U5dLYNgeOx Nov 26, 2020"
"COVID-19; 27 Nov 2020 Jumlah sembuh baru:1148 Jumlah kumulatif:50204 (81.2%) Jumlah kes baru:1109 Jumlah kumulatif:61861 Jumlah kes aktif:11307 Kes tempatan: 1099 Kes import: 10 Jumlah kematian: 2 (2 BWN) Jumlah kumulatif: 350 (0.57%) Kes di ICU:113 Pesakit intubated:41 https://t.co/mdUDtIn7Hs Nov 27, 2020"
"COVID-19; 28 Nov 2020 Jumlah sembuh baru:1110 Jumlah kumulatif:51314 (81.2%) Jumlah kes baru:1315 Jumlah kumulatif:63176 Jumlah kes aktif:11508 Kes tempatan:1310 Kes import:5 Jumlah kematian:4 (1 WN, 3 BWN) Jumlah kumulatif:350 (0.56%) Kes di ICU:118 Pesakit intubated:43 https://t.co/aN0dFsCiLj Nov 28, 2020"
"COVID-19; 29 Nov 2020 Jumlah sembuh baru:1333 Jumlah kumulatif:52647 (81.6%) Jumlah kes baru:1309 Jumlah kumulatif:64485 Jumlah kes aktif:11481 Kes tempatan:1308 Kes import:1 Jumlah kematian:3 (2 WN, 1 BWN) Jumlah kumulatif:357 (0.55%) Jumlah kes di ICU:116 Pt intubated:42 https://t.co/wbp2p99BgA Nov 29, 2020"
"COVID-19; 30 Nov 2020 Jumlah sembuh baru:2112 Jumlah kumulatif:54759 (83.4%) Jumlah kes baru:1212 Jumlah kumulatif:65697 Jumlah kes aktif:10578 Kes tempatan:1,203 (644WN, 559BWN) Kes import: 9 (7WN, 2BWN) Jumlah kematian:3 Jumlah kumulatif:360 (0.55%) di ICU:113 ntubated:42 https://t.co/piUF5dYxTT Nov 30, 2020"
"COVID-19; 1 Dis 2020 Jumlah sembuh baru:1552 Jumlah kumulatif:56311 (83.8%) Jumlah kes baru:1472 Jumlah kumulatif:67169 Jumlah kes aktif:10495 Kes tempatan1467 Kes import:5 Jumlah kematian:3 (2 WN, 1 BWN) Jumlah kumulatif363 (0.54%) Jumlah kes di ICU:120 Pesakit intubated:44 https://t.co/ZGJCVjuazE Dec 01, 2020"
"COVID-19; 2 Dis 2020 Jumlah sembuh baru:658 Jumlah kumulatif:56969 (83.75%) Jumlah kes baru:851 Jumlah kumulatif:68020 Jumlah kes aktif:10686 Kes tempatan:847 (580WN, 267BWN) Kes import:4 (2WN, 2BWN) Jumlah kematian:2 Jumlah kumulatif :365 (0.54%) kes di ICU:122 ntubated:47 https://t.co/4N9sukWLhc Dec 02, 2020"
"COVID-19; 4 Dis 2020 Jumlah sembuh baru: 1144 Jumlah kumulatif: 59061 (84.1%) Jumlah kes baru: 1141 Jumlah kumulatif: 70236 Jumlah kes aktif: 10799 Kes tempatan:1138 Kes import:3 Jumlah kematian:0 Jumlah kumulatif: 376 (0.54%) Jumlah kes di ICU: 129 Pesakit intubated: 53 https://t.co/cDdu5y9xAy Dec 04, 2020"
"COVID-19; 5 Dis 2020 Jumlah sembuh baru: 1143 Jumlah kumulatif: 60204 (84.4%) Jumlah kes baru: 1123 Jumlah kumulatif: 71359 Jumlah kes aktif: 10775 Kes tempatan: 1118 Kes import: 5 Jumlah kematian:4 Jumlah kumulatif: 380 (0.53%) Jumlah kes di ICU: 130 Pesakit intubated: 54 https://t.co/2nze3Nooz7 Dec 05, 2020"
"COVID-19; 6 Dis 2020 Jumlah sembuh baru:1069 Jumlah kumulatif:61273 (84.29%) Jumlah kes baru: 1335 Jumlah kumulatif:72694 Jumlah kes aktif: 11039 Kes tempatan:1332 (563WN, 769BWN) Kes import:3 WN Jumlah kematian: 2 WN Jumlah kumulatif:382 (0.53%) Kes di ICU:126 intubated:57 https://t.co/wz4Rxb5faR Dec 06, 2020"
"COVID-19; 7 Dis 2020 Jumlah sembuh baru: 1033 Jumlah kumulatif:62306 (83.9%) Jumlah kes baru:1600 Jumlah kumulatif:74294 Jumlah kes aktif:11604 Kes tempatan: 1597 Kes import:3 Jumlah kematian:2 (2 WN) Jumlah kumulatif:384 (0.52%) Jumlah kes di ICU: 129 Pesakit intubated: 57 https://t.co/vizwuxsMP3 Dec 07, 2020"
"COVID-19; 8 Dis 2020 Jumlah sembuh baru:1750 Jumlah kumulatif: 64056 (85.1%) Jumlah kes baru: 1012 Jumlah kumulatif: 75306 Jumlah kes aktif: 10862 Kes tempatan: 1005 Kes import:7 Jumlah kematian:4 (3 WN, 1 BWN) Jumlah kumulatif:388 (0.52%) Kes di ICU:126 Pesakit intubated:62 https://t.co/TVSqqPXXyC Dec 08, 2020"
"COVID-19; 9 Dis 2020 Jumlah sembuh baru:1068 Jumlah kumulatif: 65124 (85.39%) Jumlah kes baru:959 Jumlah kumulatif:76265 Jumlah kes aktif:10748 Kes local:953 (518WN, 435BWN) Kes import:6 (4WN, 2BWN) Jumlah kematian:5 Jumlah kumulatif:393 (0.52%) kes di ICU:127 intubated: 61 https://t.co/hu3L60D1bQ Dec 09, 2020"
"COVID-19; 10 Dis 2020 Jumlah sembuh baru:1112 Jumlah kumulatif:66236 (84.4%) Jumlah kes baru: 2234 Jumlah kumulatif: 78499 Jumlah kes aktif: 11867 Kes tempatan:2229 Kes import:5 Jumlah kematian baru:3WN Jumlah kumulatif; 396 (0.50%) Jumlah kes di ICU:124 Pesakit intubated:60 https://t.co/cJs9qhVcv5 Dec 10, 2020"
"COVID-19; 11 Dis 2020 Jumlah sembuh baru:937 Jumlah kumulatifj: 67173 (83.6%) Jumlah kes baru: 1810 Jumlah kumulatif: 80309 Jumlah kes aktif: 12734 Kes tempatan: 1799 Kes import: 11 Jumlah kematian baru: 6 WN Jumlah kumulatif: 402 (0.50%) Kes di ICU: 123 Pesakit intubated:63 https://t.co/QgJUwSTGvE Dec 11, 2020"
"COVID-19; 12 Dis 2020 Jumlah sembuh baru:911 Jumlah kumulatif:68084 (82.8%) Jumlah kes baru:1937 Jumlah kumulatif:82246 Jumlah kes aktif:13751 Kes tempatan:1935 Kes import:2 Jumlah kematian baru: 9 (7 WN, 2 BWN) Jumlah kumulatif:411 (0.5%) Kes di ICU:121 Pesakit intubated:66 https://t.co/WPFTmXQTOO Dec 12, 2020"
"COVID-19; 13 Dis 2020 Jumlah sembuh baru:1309 Jumlah kumulatif:69393 (83.1%) Jumlah kes baru:1229 Jumlah kumulatif:83475 Jumlah kes aktif:13667 Kes tempatan:1227 Kes import:2 Jumlah kematian baru:4 (3WN, 1BWN) Jumlah kumulatif:415 (0.5%) Kes di ICU: 115 Pesakit intubated:65 https://t.co/bqLVGCLQf4 Dec 13, 2020"
"COVID-19; 14 Dis 2020 Jumlah sembuh baru:1204 Jumlah kumulatif:70597 (83.21%) Jumlah kes baru:1370 Jumlah kumulatif:84846 Jumlah kes aktif:13830 Kes tempatan:1370 Kes import:1 Jumlah kematian baru:4 (3WN, 1BWN) Jumlah kumulatif:419 (0.49%) Kes di ICU:114 Pesakit intubated:62 https://t.co/GYi9W0r4L0 Dec 14, 2020"
"COVID-19; 15 Dis 2020 Jumlah sembuh baru:1084 Jumlah kumulatif:71681 (82.8%) Jumlah kes baru:1772 Jumlah kumulatif:86618 Jumlah kes aktif:14515 Kes tempatan:1760 Kes import:12 Jumlah kematian baru: 3WN Jumlah kumulatif:422 (0.49%) Jumlah kes di ICU: 118 Pesakit intubated: 56 https://t.co/0XXqhWhIHv Dec 15, 2020"
"COVID-19; 16 Dis 2020 Jumlah sembuh baru:1052 Jumlah kumulatif:72733 (82.7%) Jumlah kes baru:1295 Jumlah kumulatif:87913 Jumlah kes aktif:14751 Kes tempatan:1285 Kes import:10 Jumlah kematian baru:7 (4WN, 3BWN) Jumlah kumulatif:429 (0.49%) kes di ICU:113 Pesakit intubated:53 https://t.co/gAA2GDerEl Dec 16, 2020"
"COVID-19; 17 Dis 2020 Jumlah sembuh baru:1297 Jumlah kumulatif:74030 (83.1%) Jumlah kes baru:1220 Jumlah kumulatif:89133 Jumlah kes aktif:14671 Kes tempatan:1214 Kes import:6 Jumlah kematian baru:3 (2WN, 1BWN) Jumlah kumulatif:432 (0.48%) Kes di ICU: 106 Pesakit intubated:53 https://t.co/Ism34Oknzt Dec 17, 2020"
"COVID-19; 18 Dis 2020 Jumlah sembuh baru:1214 Jumlah kumulatif:75244 (82.9%) Jumlah kes baru:1683 Jumlah kumulatif:90816 Jumlah kes aktif:15140 Kes tempatan:1675 Kes import:8 Jumlah kematian baru:0 Jumlah kumulatif: 432 (0.48%) Jumlah kes di ICU: 106 Pesakit intubated: 51 https://t.co/2q2wKkXoz2 Dec 18, 2020"
"COVID-19; 19 Dis 2020 Jumlah sembuh baru:998 Jumlah kumulatif:76242 (82.9%) Jumlah kes baru:1153 Jumlah kumulatif:91696 Jumlah kes aktif:15294 Kes tempatan:1151 Kes import: 2 Jumlah kematian baru: 1 Jumlah kumulatif: 433 (0.47%) Jumlah kes di ICU: 112 Pesakit intubated: 56 https://t.co/2bTldC75jA Dec 19, 2020"
"COVID-19; 20 Dis 2020 Jumlah sembuh baru:1067 Jumlah kumulatif: 77309 (82.9%) Jumlah kes baru:1340 Jumlah kumulatif:93309 Jumlah kes aktif:15563 Kes tempatan:1337 Kes import:3 Jumlah kematian baru:4 Jumlah kumulatif:437 (0.47%) Jumlah kes di ICU: 116 Pesakit intubated: 57 https://t.co/1rny3AX6iM Dec 20, 2020"
"COVID-19; 21 Dis 2020 Jumlah sembuh baru:1084 Jumlah kumulatifj:78393 (82.2%) Jumlah kes baru:2018 Jumlah kumulatif:95327 Jumlah kes aktif:16496 Kes tempatan:2011 Kes import:7 Jumlah kematian baru:1 Jumlah kumulatif:438 (0.46%) Jumlah kes di ICU: 109 Pesakit intubated: 55 https://t.co/L9PX8SAVIT Dec 21, 2020"
"COVID-19; 22 Dis 2020 Jumlah sembuh baru:911 Jumlah kumulatif:79304 (81.4%) Jumlah kes baru:2062 Jumlah kumulatif:97389 Jumlah kes aktif:17646 Kes tempatan:2058 Kes import:4 Jumlah kematian baru:1 BWN Jumlah kumulatif:439 (0.45%) Jumlah kes di ICU:111 Pesakit intubated:51 https://t.co/ezWmrxMKZZ Dec 22, 2020"
"COVID-19; 23 Dis 2020 Jumlah sembuh baru:710 Jumlah kumulatif:80014 (81.0%) Jumlah kes baru:1348 Jumlah kumulatif:98737 Jumlah kes aktif:18279 Kes tempatan:1332 Kes import:16 Jumlah kematian baru: 5 BWN Jumlah kumulatif:444 (0.45%) Jumlah kes di ICU:102 Pesakit intubated: 44 https://t.co/6udCoLhu1g Dec 23, 2020"
"COVID-19; 24 Dis 2020 Jumlah sembuh baru: 1085 Jumlah kumulatif:81099 (80.8%) Jumlah kes baru:1581 Jumlah kumulatif:100318 Jumlah kes aktif:18773 Kes tempatan:1579 Kes import:2 Jumlah kematian baru:2 WN Jumlah kumulatif:446 (0.44%) Jumlah kes di ICU:102 Pesakit intubated: 45 https://t.co/Jn6cbWPxCg Dec 24, 2020"
"COVID-19; 26 Dis 2020 Jumlah sembuh baru:874 Jumlah kumulatif: 83414 (80.3%) Jumlah kes baru:2335 Jumlah kumulatif:103900 Jumlah kes aktif:20035 Kes tempatan:2324 Kes import:11 Jumlah kematian baru:2WN Jumlah kumulatif:451(0.43%) Jumlah kes di ICU: 108 Pesakit intubated: 50 https://t.co/OswUCmhs0H Dec 26, 2020"
"COVID-19; 27 Dis 2020 Jumlah sembuh baru:997 Jumlah kumulatif: 84411 (80.3%) Jumlah kes baru:1196 Jumlah kumulatif:105096 Jumlah kes aktif:20233 Kes tempatan:1191 Kes import:5 Jumlah kematian baru:1 WN Jumlah kumulatif:452 (0.43%) Jumlah kes di ICU: 111 Pesakit intubated: 50 https://t.co/FccO8ZgI6c Dec 27, 2020"
"COVID-19; 28 Dis 2020 Jumlah sembuh baru:1181 Jumlah kumulatif:85592 (80.3%) Jumlah kes baru: 1594 Jumlah kumulatif:106690 Jumlah kes aktif: 20643 Kes tempatan:1591 Kes import:3 Jumlah kematian baru:3 WN Jumlah kumulatif:455 (0.4%) Jumlah kes di ICU:116 Pesakit intubated: 53 https://t.co/z6tVMuzthn Dec 28, 2020"
"COVID-19; 29 Dis 2020 Jumlah sembuh baru:1123 Jumlah kumulatifj:86715 (79.8%) Jumlah kes baru: 1925 Jumlah kumulatif:108618 Jumlah kes aktif:21443 Kes tempatan:1915 Kes import:10 Jumlah kematian baru:2WN Jumlah kumulatif:457 (0.42%) Jumlah kes di ICU:117 Pesakit intubated:55 https://t.co/0rhbjED7Mr Dec 29, 2020"
"COVID-19; 30 Dis 2020 Jumlah sembuh baru:745 Jumlah kumulatifj:87460 (79.2%) Jumlah kes baru:1870 Jumlah kumulatif:110485 Jumlah kes aktif:22562 Kes tempatan:1868 Kes import:2 Jumlah kematian baru:6 (5WN, 1BWN) Jumlah kumulatif:463 (0.42%) Kes di ICU:131 Pesakit intubated:62 https://t.co/U60v5aaL3u Dec 30, 2020"
"COVID-19; 31 Dis 2020 Jumlah sembuh baru:1481 Jumlah kumulatif:88941 (78.7%) Jumlah kes baru:2525 Jumlah kumulatif:113010 Jumlah kes aktif:23598 Kes tempatan:2512 Kes import:13 Jumlah kematian baru: 8 WN Jumlah kumulatif:471 (0.42%) Jumlah kes di ICU:131 Pesakit intubated:60 https://t.co/JpivFntYtX Dec 31, 2020"
